"","Actual","Prediction"
"1",11,20.13122913067
"2",25,20.0959404685704
"3",28,20.1135554351267
"4",26,20.0993184555336
"5",28,20.102701894086
"6",21,20.1180855091799
"7",28,20.1045161290327
"8",20,20.1207778980563
"9",25,20.1081707754918
"10",14,20.1327096463613
"11",18,20.1086927032027
"12",20,20.0953926492183
"13",15,20.1050591063328
"14",25,20.0890427880926
"15",22,20.0891161239416
"16",30,20.0906850849216
"17",16,20.115261220143
"18",16,20.1188624204371
"19",26,20.0931705397734
"20",13,20.1171218217857
"21",27,20.0968665515174
"22",29,20.108095002248
"23",20,20.094850182849
"24",23,20.091673573879
"25",17,20.1225011385845
"26",21,20.106250313974
"27",12,20.1169350228223
"28",29,20.1055260309726
"29",11,20.132799061374
"30",22,20.1051951566416
"31",27,20.1120521750174
"32",15,20.1037818143836
"33",19,20.1092797107778
"34",19,20.1095881014325
"35",30,20.1055388115784
"36",23,20.1158787748895
"37",22,20.1289129051145
"38",22,20.1026068522627
"39",16,20.1175639807365
"40",27,20.1146752992047
"41",24,20.0983807714777
"42",22,20.1140019057129
"43",18,20.1075174743325
"44",10,20.1369389734447
"45",22,20.0867607469978
"46",11,20.1345107265631
"47",23,20.1224277920487
"48",19,20.120564905834
"49",28,20.1106802339716
"50",30,20.0883649510135
"51",20,20.1048752227979
"52",28,20.0939386740929
"53",11,20.1106967599499
"54",16,20.1265901317317
"55",25,20.1089000493248
"56",30,20.109598022374
"57",22,20.1041481101169
"58",19,20.1122945663901
"59",15,20.1280156707626
"60",26,20.1146483725682
"61",10,20.1168185122797
"62",11,20.1155681507571
"63",19,20.1079505667288
"64",11,20.126423331782
"65",18,20.1142486479581
"66",14,20.107736212432
"67",20,20.1125020401217
"68",30,20.0821937996224
"69",10,20.1385082192641
"70",14,20.1101172594343
"71",10,20.1107701309653
"72",28,20.0956811576262
"73",11,20.1385906263189
"74",28,20.1094856479786
"75",10,20.1243950828221
"76",17,20.1247105494819
"77",25,20.0916449168934
"78",16,20.1167324924493
"79",27,20.111835890305
"80",15,20.1234074428571
"81",22,20.1057409961814
"82",16,20.1163026467173
"83",24,20.0967082465893
"84",11,20.1263430204904
"85",24,20.1181565443557
"86",27,20.0965718595432
"87",29,20.0865244515181
"88",26,20.1162985021283
"89",11,20.1183458231716
"90",27,20.0962932422571
"91",20,20.1082506225704
"92",21,20.09000482816
"93",27,20.1125473165876
"94",10,20.1238704238768
"95",21,20.1006668944405
"96",16,20.1122067160656
"97",14,20.1226240101496
"98",20,20.0907354373303
"99",18,20.1215400074221
"100",10,20.1220484017792
"101",22,20.1029824708904
"102",17,20.1244853661084
"103",21,20.1197371719051
"104",16,20.1106398409427
"105",28,20.1202511728022
"106",23,20.0998003084021
"107",26,20.0965237187713
"108",14,20.107978199178
"109",10,20.1303139860192
"110",22,20.1066497482643
"111",30,20.1015085361108
"112",25,20.0992102322952
"113",13,20.1017214480273
"114",25,20.1129798217411
"115",19,20.1096668769976
"116",29,20.0931626779071
"117",30,20.1068082654862
"118",28,20.0890187491236
"119",27,20.1122409421439
"120",11,20.137860702573
"121",18,20.1151816329652
"122",16,20.1081956115497
"123",15,20.1313679712086
"124",24,20.0977834867156
"125",26,20.1143739858934
"126",25,20.1004286594183
"127",19,20.1131654087443
"128",14,20.1164356586867
"129",20,20.1011571812206
"130",19,20.118977908976
"131",20,20.1023763620222
"132",30,20.0916051177243
"133",16,20.1138544965845
"134",15,20.1099848535154
"135",12,20.1320881728797
"136",20,20.1203333910295
"137",27,20.1221468352038
"138",28,20.112185150736
"139",24,20.1133132753215
"140",20,20.1330293169282
"141",15,20.1381787734111
"142",29,20.1094812147238
"143",21,20.1226493467773
"144",14,20.1295509638323
"145",17,20.1046136919592
"146",26,20.097858810081
"147",19,20.1082355081207
"148",11,20.1360129875482
"149",15,20.1275517008771
"150",21,20.1203005194881
"151",23,20.0980316846369
"152",16,20.1104799917752
"153",13,20.1068891502864
"154",22,20.1160460134914
"155",16,20.1268323531519
"156",15,20.1052238176
"157",19,20.1108402370866
"158",11,20.1368094722088
"159",24,20.1033889739075
"160",11,20.1196120456143
"161",11,20.137792825137
"162",15,20.1010715250961
"163",18,20.1279215776037
"164",13,20.1197589036187
"165",19,20.105572624267
"166",11,20.1293581672831
"167",28,20.0944323780746
"168",29,20.1091412768137
"169",13,20.1345808002092
"170",14,20.1188106263622
"171",13,20.1038441973693
"172",25,20.1166569598359
"173",16,20.1145253735792
"174",22,20.1054065028615
"175",22,20.1161417353676
"176",14,20.1154564119883
"177",18,20.109653433624
"178",11,20.1177702775344
"179",23,20.1178434799229
"180",17,20.1267677187187
"181",25,20.096223637051
"182",28,20.0884485698828
"183",13,20.1204354059878
"184",24,20.0940354143025
"185",20,20.101035951832
"186",24,20.1182891897452
"187",25,20.1119768153797
"188",13,20.1228606478503
"189",28,20.0972001831238
"190",15,20.1286452257966
"191",16,20.1029821559158
"192",12,20.1144801721171
"193",23,20.1023834989448
"194",12,20.1228022107113
"195",11,20.1142234360156
"196",11,20.1366381537812
"197",29,20.0928726015367
"198",21,20.0995495698889
"199",28,20.1054053888021
